TriviaID,TriviaType,Question,ChoiceA,ChoiceB,ChoiceC,ChoiceD,CorrectChoice,Category,Difficulty,StartDate,EndDate,Active,Explanation
Tr-32,daily,What is it called when a batter lightly taps the ball to try to reach base?,Bunt,Home run,Strikeout,Walk,A,,,,,,
Tr-33,daily,How many teams play in one baseball game?,1,2,3,4,B,,,,,,
Tr-34,daily,What color is home plate usually?,Blue,Green,White,Black,C,,,,,,
Tr-35,daily,What is the name of the famous song sung during the seventh inning stretch?,Happy Birthday,Take Me Out to the Ball Game,We Will Rock You,America the Beautiful,B,,,,,,
Tr-36,daily,What is the seventh inning stretch?,A pitching drill,A time when fans stand and stretch,A timeout for snacks,A special kind of hit,B,,,,,,
Tr-37,daily,What do you call a game where a pitcher allows no hits?,Perfect game,No-hitter,Double play,Walk-off,B,,,,,,
Tr-38,daily,What do you call a game where no opposing player reaches base at all?,Single game,Walk game,Perfect game,Bullpen game,C,,,,,,
Tr-39,daily,What is the last game of the championship series called in MLB?,All-Star Game,Wild Card Game,World Series,Home Run Derby,C,,,,,,
Tr-40,daily,Where is the Baseball Hall of Fame located?,Boston,Chicago,Cooperstown,Los Angeles,C,,,,,,
Tr-41,daily,Who was the first Black player in modern MLB history?,Babe Ruth,Jackie Robinson,Derek Jeter,Hank Aaron,B,,,,,,
Tr-42,daily,What number was Jackie Robinson famous for wearing?,7,10,21,42,D,,,,,,
Tr-43,daily,What is it called when the home team scores the winning run in the last half inning?,Walk-off,Double play,Balk,Tag up,A,,,,,,
Tr-44,daily,Which piece of equipment does a catcher wear for extra protection?,Shin guards,Mask,Chest protector,All of these,D,,,,,,
Tr-45,daily,What is a glove with extra padding for a catcher often called?,Batting glove,Catcher’s mitt,Helmet pad,Pitching glove,B,,,,,,
Tr-46,daily,Which base is in the middle of the infield and often part of double plays?,First base,Second base,Third base,Home plate,B,,,,,,
Tr-47,daily,What do you call a ball hit high into the air in the infield?,Pop fly,Ground ball,Bunt,Line drive,A,,,,,,
Tr-48,daily,What do you call a ball hit rolling on the ground?,Fly ball,Ground ball,Foul tip,Steal,B,,,,,,
Tr-49,daily,What do you call a hard hit ball that travels low and fast through the air?,Grounder,Bunt,Line drive,Walk,C,,,,,,
Tr-50,daily,What do players wear on their feet for better grip on the field?,Sandals,Sneakers,Cleats,Slippers,C,,,,,,
Tr-51,daily,Which team has won the most World Series titles?,Dodgers,Yankees,Cubs,Red Sox,B,,,,,,
Tr-52,daily,What is the term for the 4-sided white bags players run to?,Bases,Benches,Bags only,Plates,A,,,,,,
Tr-53,daily,How many bases must a runner touch to score a run?,2,3,4,5,C,,,,,,
Tr-54,daily,What happens if a batter gets hit by a pitch?,Nothing,Batter is out,Batter goes to first base,Pitcher leaves the game,C,,,,,,
Tr-55,daily,Who usually calls balls and strikes?,Coach,Manager,Umpire,Scorekeeper,C,,,,,,
Tr-56,daily,What is a foul tip caught by the catcher counted as?,A ball,A strike,A walk,A hit,B,,,,,,
Tr-57,daily,What is the area over home plate between the batter’s knees and chest called?,Bullpen,Strike zone,Dugout,Warning track,B,,,,,,
Tr-58,daily,What do you call the dirt circle where the pitcher stands?,Pitch box,Pitch ring,Pitcher’s mound,Plate circle,C,,,,,,
Tr-59,daily,What do you call the slab on top of the mound that pitchers push off from?,Rubber,Plate,Pad,Line,A,,,,,,
Tr-60,daily,What do you call the championship trophy in MLB?,Stanley Cup,Lombardi Trophy,Commissioner’s Trophy,Heisman Trophy,C,,,,,,
Tr-61,daily,How many leagues are in Major League Baseball?,1,2,3,4,B,,,,,,
Tr-62,daily,What are the two leagues in Major League Baseball called?,Eastern and Western,American and National,North and South,Major and Minor,B,,,,,,
Tr-63,daily,What event features the best players from both leagues in the middle of the season?,World Series,Home Run Derby,All-Star Game,Opening Day,C,,,,,,
Tr-64,daily,What contest lets players try to hit the most home runs in a short time?,Skills Challenge,Home Run Derby,All-Star Relay,Batting Race,B,,,,,,
Tr-65,daily,What do you call it when a baserunner must run because the batter becomes a runner?,Tag play,Force play,Fly rule,Balk,B,,,,,,
Tr-66,daily,What does the first baseman try to do to record an out on a ground ball?,Throw to center field,Step on first base with the ball,Run to home plate,Tag the coach,B,,,,,,
Tr-67,daily,What does a runner often do feet-first or head-first when reaching a base quickly?,Jump,Slide,Dive only,Roll,B,,,,,,
Tr-68,daily,What color are baseball foul lines usually?,Red,Blue,White,Green,C,,,,,,
Tr-69,daily,Which part of the field is nearest the outfield fence?,Bullpen,Warning track,Dugout,Mound,B,,,,,,
Tr-70,daily,What is the name of the famous tall wall at Fenway Park?,Big Blue,Green Monster,Ivy Wall,Monster Box,B,,,,,,
Tr-71,daily,Which ballpark is famous for ivy-covered outfield walls?,Fenway Park,Wrigley Field,Yankee Stadium,Dodger Stadium,B,,,,,,
Tr-72,daily,What do you call a baseball season game played before the regular season starts?,Playoff game,Exhibition or spring training game,World Series game,All-Star Game,B,,,,,,
Tr-73,daily,What is the term for a pitcher who starts the game?,Closer,Starter,Backup,Coach,B,,,,,,
Tr-74,daily,What is the term for a pitcher who comes in later in the game?,Closer,Relief pitcher,Designated hitter,Bat boy,B,,,,,,
Tr-75,daily,What is the term for a hitter who bats in place of the pitcher in some leagues?,Pinch runner,Designated hitter,Closer,Catcher,B,,,,,,
Tr-76,daily,What do you call a hitter who bats in place of another hitter for one at-bat?,Pinch hitter,Pinch runner,Starter,Lead-off hitter,A,,,,,,
Tr-77,daily,What do you call a runner who enters the game to run for another player?,Pinch hitter,Pinch runner,Closer,Bullpen catcher,B,,,,,,
Tr-78,daily,What is the first game of the season commonly called?,Opening Day,Final Day,Hall of Fame Day,Championship Day,A,,,,,,
Tr-79,daily,What is it called when a batter gets to first because the catcher drops strike three?,Passed ball,Error,Dropped third strike,Balk,C,,,,,,
Tr-80,daily,What do you call a pitch that curves downward sharply?,Fastball,Curveball,Knuckleball,Changeup,B,,,,,,
Tr-81,daily,What pitch is thrown to look like a fastball but arrives slower?,Changeup,Slider,Sinker,Cutter,A,,,,,,
Tr-82,daily,What pitch is usually the fastest pitch a pitcher throws?,Curveball,Fastball,Changeup,Knuckleball,B,,,,,,
Tr-83,daily,What is the goal of the defense in baseball?,Score touchdowns,Get outs and stop runs,Hit home runs only,Steal signs,B,,,,,,
Tr-84,daily,What is the goal of the offense in baseball?,Make tackles,Score runs,Block shots,Serve aces,B,,,,,,
Tr-85,daily,What do players call the place where they keep gear and get ready before games?,Clubhouse,Bullpen,Bleachers,Box seats,A,,,,,,
Tr-86,daily,What do you call a runner who leaves the base too early on a caught fly ball and is tagged out?,Force out,Appeal out,Tag-up out,Walk-off,C,,,,,,
Tr-87,daily,What is it called when the batter hits safely in every game for many games in a row?,Hitting streak,Run streak,Pitching streak,Save streak,A,,,,,,
Tr-88,daily,What do you call it when a player gets a single double triple and home run in one game?,Cycle,Double play,Perfect game,Grand slam,A,,,,,,
Tr-89,daily,What is a home run with the bases loaded called?,Walk-off,Grand slam,Triple play,Bunt,B,,,,,,
Tr-90,daily,How many runs can score on a grand slam?,1,2,3,4,D,,,,,,
Tr-91,daily,What happens if the score is tied after 9 innings in many baseball games?,The game ends in a tie,The game goes to extra innings,The home team wins,The visitors win,B,,,,,,
Tr-92,daily,What do you call innings played after the 9th inning in a tied game?,Bonus innings,Extra innings,Final innings,Tiebreak innings,B,,,,,,
Tr-93,daily,Which player often gives signs to the pitcher about what pitch to throw?,First baseman,Catcher,Left fielder,Manager,B,,,,,,
Tr-94,daily,What do chalk lines help show on a baseball field?,Where the dugout is,Fair and foul territory,Where coaches sit,Where fans park,B,,,,,,
Tr-95,daily,What is the job of the scoreboard at the ballpark?,Sell tickets,Track runs hits and other game info,Coach players,Hold equipment,B,,,,,,
Tr-96,daily,What is the term for when the batter does not swing and the pitch is outside the strike zone?,Ball,Strike,Foul,Out,A,,,,,,
Tr-97,daily,What is the term for when the batter swings and misses the pitch?,Ball,Strike,Walk,Balk,B,,,,,,
Tr-98,daily,What is the term for a ball hit into the seats or out of play outside the foul lines?,Fair ball,Foul ball,Line drive,Ground rule double,B,,,,,,
Tr-99,daily,What is the term for the person who writes down official game results and stats?,Scorekeeper,Umpire,Mascot,Bat boy,A,,,,,,
Tr-100,daily,What do we call baseball because it has been loved in the United States for a very long time?,The fastest game,America’s Pastime,The national sprint,The grand sport,B,,,,,,
Tr-101,daily,What is it called when a batter hits safely 4 times in one game?,Cycle,Grand slam,Four-hit game,Walk-off,C,,,,,,
Tr-102,daily,How many bases are loaded during a grand slam?,1,2,3,4,C,,,,,,
Tr-103,daily,What do you call a pitcher who finishes a game without being replaced?,Closer,Complete game,Reliever,Starter,B,,,,,,
Tr-104,daily,What does RBI stand for?,Run Batted In,Runner Base Indicator,Right Base Inning,Runs Before Inning,A,,,,,,
Tr-105,daily,What does ERA measure for pitchers?,Speed,Strikeouts,Runs allowed average,Home runs,C,,,,,,
Tr-106,daily,Which base is the farthest from home plate?,First,Second,Third,All the same,B,,,,,,
Tr-107,daily,What is a ball hit over the fence but that first bounces in fair territory called?,Ground rule double,Home run,Triple,Bunt,A,,,,,,
Tr-108,daily,What is the term for a relief pitcher who finishes a close game?,Closer,Starter,Setup hitter,Pinch pitcher,A,,,,,,
Tr-109,daily,How many umpires usually work a Major League game?,2,3,4,5,C,,,,,,
Tr-110,daily,Which base must a runner return to after a fly ball is caught?,First,Second,Third,The base they started from,D,,,,,,
Tr-111,daily,What is the area beyond the infield called?,Fair field,Outfield,Outer zone,Backfield,B,,,,,,
Tr-112,daily,What is the line that separates fair and foul territory called?,Boundary line,Chalk line,Foul line,Strike line,C,,,,,,
Tr-113,daily,What do you call a runner who scores after tagging up?,Tag run,Sacrifice run,Tag-up run,Advance,C,,,,,,
Tr-114,daily,What is a sacrifice fly?,A bunt,A fly ball that scores a runner,A dropped ball,A double,B,,,,,,
Tr-115,daily,What is the name for the area where the batter stands?,Bat box,Batter's box,Hit zone,Plate box,B,,,,,,
Tr-116,daily,What is the white rubber on the mound called?,Pitch slab,Rubber plate,Pitching rubber,Throw plate,C,,,,,,
Tr-117,daily,What is the distance around the bases called?,Diamond path,Base path,Run path,Field path,B,,,,,,
Tr-118,daily,What does a designated hitter do?,Pitch,Bat for the pitcher,Run bases,Coach,B,,,,,,
Tr-119,daily,What is the name for a baseball stadium?,Arena,Fieldhouse,Ballpark,Dome,C,,,,,,
Tr-120,daily,Which position catches throws at second base during many double plays?,Shortstop,Pitcher,Center fielder,Catcher,A,,,,,,
Tr-121,daily,Which position often covers second base during double plays from the other side?,Second baseman,First baseman,Third baseman,Catcher,A,,,,,,
Tr-122,daily,What is the foul pole used for?,Holding lights,Marking fair home runs,Camera mount,Scoreboard,B,,,,,,
Tr-123,daily,What is the name for a runner forced to advance?,Tag runner,Force runner,Lead runner,Push runner,B,,,,,,
Tr-124,daily,What is a ball hit directly back toward the pitcher called?,Grounder,Comer,Combacker,Reverse,C,,,,,,
Tr-125,daily,What is the term for a pitcher entering the game in the 8th inning before the closer?,Closer,Setup pitcher,Starter,Relief ace,B,,,,,,
Tr-126,daily,How many players from one team are on the field at a time?,7,8,9,10,C,,,,,,
Tr-127,daily,What do you call it when a batter gets four balls?,Strikeout,Walk,Double,Foul,B,,,,,,
Tr-128,daily,What base does a runner go to first after hitting the ball?,Second,First,Third,Home,B,,,,,,
Tr-129,daily,What do you call a hit where the batter reaches second base?,Triple,Double,Single,Homerun,B,,,,,,
Tr-130,daily,Which player throws the ball to the batter?,Catcher,Pitcher,Shortstop,Umpire,B,,,,,,
Tr-131,daily,Which player stands behind home plate?,Catcher,First baseman,Shortstop,Center fielder,A,,,,,,
Tr-132,daily,What do you call a ball hit in the air that is caught?,Flyout,Double,Walk,Steal,A,,,,,,
Tr-133,daily,How many outs are there in one inning for each team?,2,3,4,5,B,,,,,,
Tr-134,daily,What shape is the baseball field called?,Circle,Square,Diamond,Triangle,C,,,,,,
Tr-135,daily,What do you call it when two outs happen in one play?,Double play,Triple play,Strikeout,Walk,A,,,,,,
Tr-136,daily,Which outfielder stands in the middle of the outfield?,Left fielder,Right fielder,Center fielder,Shortstop,C,,,,,,
Tr-137,daily,What is the final base a runner must reach to score?,Third base,Second base,Home plate,First base,C,,,,,,
Tr-138,daily,What do you call a hit that goes over the fence in fair territory?,Double,Triple,Homerun,Strike,C,,,,,,
Tr-139,daily,How many bases are on a baseball field?,3,4,5,6,B,,,,,,
Tr-140,daily,What does the umpire call when the batter swings and misses three times?,Out,Walk,Strikeout,Double,C,,,,,,
Tr-141,daily,What is the player called who tries to hit the ball?,Runner,Batter,Catcher,Coach,B,,,,,,
Tr-142,daily,What happens when a ball is hit outside the foul lines?,Fair ball,Foul ball,Walk,Strike,B,,,,,,
Tr-143,daily,What base is between first and third?,Home,Second,Fourth,Fifth,B,,,,,,
Tr-144,daily,What do players wear to catch the ball?,Helmet,Bat,Glove,Cleats,C,,,,,,
Tr-145,daily,What do you call it when a runner takes the next base while the pitcher throws?,Walk,Steal,Double,Flyout,B,,,,,,
Tr-146,daily,Who has the most hits in MLB history?,Derek Jeter,Pete Rose,Hank Aaron,Ty Cobb,B,,,,,,
Tr-147,daily,Which team has won the most World Series?,Red Sox,Cardinals,Yankees,Dodgers,C,,,,,,
Tr-148,daily,What number did Babe Ruth famously wear?,3,7,9,44,A,,,,,,
Tr-149,daily,Which player is nicknamed 'The Captain'?,Mike Trout,Derek Jeter,Aaron Judge,Bryce Harper,B,,,,,,
Tr-150,daily,What team does Mike Trout play for?,Yankees,Angels,Dodgers,Cubs,B,,,,,,
Tr-151,daily,What team plays at Fenway Park?,Red Sox,Yankees,Mets,Phillies,A,,,,,,
Tr-152,daily,How far apart are the bases in MLB?,70 feet,80 feet,90 feet,100 feet,C,,,,,,
Tr-153,daily,Which position stands between second and third base?,Shortstop,Catcher,First baseman,Pitcher,A,,,,,,
Tr-154,daily,What city are the Cubs from?,Chicago,Boston,New York,Atlanta,A,,,,,,
Tr-155,daily,What number does Aaron Judge wear?,22,44,99,2,C,,,,,,
Tr-156,daily,What team plays at Dodger Stadium?,Dodgers,Padres,Giants,Mariners,A,,,,,,
Tr-157,daily,What is the name of the trophy given to the World Series champion?,Lombardi Trophy,Commissioner's Trophy,Stanley Cup,MVP Cup,B,,,,,,
Tr-158,daily,What is the fastest pitch ever recorded (about)?,95 mph,101 mph,105 mph,110 mph,C,,,,,,
Tr-159,daily,Which position usually catches throws at first base?,First baseman,Pitcher,Catcher,Shortstop,A,,,,,,
Tr-160,daily,How many innings are in a regular MLB game?,7,8,9,10,C,,,,,,
Tr-161,daily,What team plays in New York besides the Yankees?,Mets,Giants,Cubs,Red Sox,A,,,,,,
Tr-162,daily,What do you call three outs on one play?,Triple play,Double play,Strikeout,Walk,A,,,,,,
Tr-163,daily,What do players swing to hit the ball?,Stick,Bat,Paddle,Rod,B,,,,,,
Tr-164,daily,What league do the Yankees play in?,American League,National League,Minor League,Pacific League,A,,,,,,
Tr-165,daily,What is the area beyond the infield called?,Outfield,Diamond,Dugout,Mound,A,,,,,,
Tr-166,daily,Who holds the MLB single-season home run record?,Babe Ruth,Mark McGwire,Barry Bonds,Sammy Sosa,C,,,,,,
Tr-167,daily,Which player has the most career home runs?,Hank Aaron,Babe Ruth,Barry Bonds,Willie Mays,C,,,,,,
Tr-168,daily,Which pitcher threw the only perfect game in World Series history?,Sandy Koufax,Don Larsen,Nolan Ryan,Tom Seaver,B,,,,,,
Tr-169,daily,Which team did Jackie Robinson play for?,Dodgers,Giants,Yankees,Cubs,A,,,,,,
Tr-170,daily,What city were the Dodgers originally from?,Brooklyn,Boston,Chicago,Philadelphia,A,,,,,,
Tr-171,daily,Who is famous for hitting 714 home runs before Hank Aaron broke the record?,Babe Ruth,Mickey Mantle,Willie Mays,Ted Williams,A,,,,,,
Tr-172,daily,Which player is known as 'The Say Hey Kid'?,Willie Mays,Hank Aaron,Ken Griffey Jr.,Derek Jeter,A,,,,,,
Tr-173,daily,What team did Babe Ruth play for before the Yankees?,Red Sox,Cubs,Dodgers,Cardinals,A,,,,,,
Tr-174,daily,What MLB award is given to the best pitcher each year?,Cy Young Award,MVP Award,Gold Glove,Silver Slugger,A,,,,,,
Tr-175,daily,"What player stole over 1,400 bases in his career?",Rickey Henderson,Lou Brock,Derek Jeter,Tony Gwynn,A,,,,,,
